Indice,Año,Mes,Departamento,Victimario,Edad,Lugar de los hechos,Metodos de eliminación
1,2017,Julio,Antioquia,Desconocido,41,Local comercial,Estrangulada 
2,2017,Julio,Antioquia,Desconocido,11,Quebrada o rio,Asfixiada
3,2017,Julio,Antioquia,Desconocido,16,Via Urbana,Baleada
4,2017,Julio,Antioquia,Desconocido,29,Via Urbana,Baleada
5,2017,Julio,Antioquia,Desconocido,29,Via Urbana,Estrangulada 
6,2017,Julio,Antioquia,Desconocido,29,Via Urbana,Estrangulada 
7,2017,Julio,Cauca,Desconocido,27,Hotel,Asfixiada
8,2017,Julio,Cauca,Compañero permanente,26,Vivienda de la victima,Desconocido
9,2017,Julio,Cauca,Desconocido,26,Via rural,Desconocido
10,2017,Julio,Norte de Santander,Desconocido,29,Zona rural,Baleada
11,2017,Julio,Norte de Santander,Banda criminal,32,Vivienda de la victima,Baleada
12,2017,Julio,Norte de Santander,Excompañero permanente,53,Vivienda de la victima,Desconocido
13,2017,Julio,Santander,Conocido,26,Casa familiar,Apuñalada
14,2017,Julio,Santander,Exnovio,17,Vivienda de la victima,Baleada
15,2017,Agosto,Bogota,Desconocido,32,Vivienda de la victima,Desconocido
16,2017,Agosto,Risaralda,Familiar,36,Via urbana,Baleada
17,2017,Agosto,Cundinamarca,Conocido,29,Vivienda de la victima,Baleada
18,2017,Agosto,Cauca,Militar,29,Zona Rural,Golpeada
19,2017,Agosto,Choco,Estructuras armadas,38,Zona Rural,Estrangulada 
20,2017,Agosto,Bolivar,Exnovio,32,Lugar de trabajo de la victima,Baleada
21,2017,Agosto,Bolivar,Conocido,26,Vivienda de la victima,Apuñalada
22,2017,Agosto,Nariño,Desconocido,29,En una calle del barrio de la victima,Asfixiada
23,2017,Agosto,Nariño,Desconocido,29,Via urbana,Baleada
24,2017,Agosto,Huila,Conyuge,39,Desconocido,Apuñalada
25,2017,Agosto,Huila,Desconocido,25,Local comercial,Desconocido
26,2017,Agosto,Sucre,Conocido,21,Lugar de trabajo de la victima,Baleada
27,2017,Agosto,Sucre,Excompañero permanente,29,Via urbana,Desconocido
28,2017,Agosto,Sucre,Desconocido,29,Vivienda de la victima,Asfixiada
29,2017,Agosto,Norte de Santander,Banda criminal,26,Transporte publico,Baleada
30,2017,Agosto,Norte de Santander,Desconocido,24,Vivienda de la victima,Baleada
31,2017,Agosto,Norte de Santander,Desconocido,15,Vivienda de la victima,Desconocido
32,2017,Agosto,Casanare,Compañero permanente,29,Vivienda del victimario,Apuñalada
33,2017,Agosto,Casanare,Exnovio,29,Via urbana,Baleada
34,2017,Agosto,Casanare,Compañero permanente,17,Vivienda del victimario,Apuñalada
35,2017,Agosto,Cordoba,Compañero permanente,29,Via urbana,Apuñalada
36,2017,Agosto,Cordoba,Desconocido,28,Vivienda de la victima,Apuñalada
37,2017,Agosto,Cordoba,Desconocido,32,Vivienda de la victima,Apuñalada
38,2017,Agosto,Santander,Excompañero permanente,10,Vivienda del victimario,Baleada
39,2017,Agosto,Santander,Desconocido,30,Via urbana,Desconocido
40,2017,Agosto,Santander,Conyuge,26,Vivienda de la victima,Baleada
41,2017,Agosto,Santander,Conocido,29,Zona verde urbana,Apuñalada
42,2017,Agosto,Santander,Desconocido,29,Via urbana,Apuñalada
