Año,Mes,Departamento,Victimario,Edad,Lugar de los hechos,Metodos de eliminacion
2017,Julio,Antioquia,Victimario Desconocido,41,Local comercial,Estrangulada
2017,Julio,Antioquia,Victimario Desconocido,11,Quebrada o rio,Asfixiada
2017,Julio,Antioquia,Victimario Desconocido,16,Via urbana,Baleada
2017,Julio,Antioquia,Victimario Desconocido,29,Via urbana,Baleada
2017,Julio,Antioquia,Victimario Desconocido,29,Via urbana,Estrangulada
2017,Julio,Antioquia,Victimario Desconocido,29,Via urbana,Estrangulada
2017,Julio,Cauca,Victimario Desconocido,27,Hotel,Asfixiada
2017,Julio,Cauca,Compañero permanente,26,Vivienda de la victima,Metodo Desconocido
2017,Julio,Cauca,Victimario Desconocido,26,Via rural,Metodo Desconocido
2017,Julio,Norte de Santander,Victimario Desconocido,29,Zona rural,Baleada
2017,Julio,Norte de Santander,Banda criminal,32,Vivienda de la victima,Baleada
2017,Julio,Norte de Santander,Excompañero permanente,53,Vivienda de la victima,Metodo Desconocido
2017,Julio,Santander,Conocido,26,Vivienda de la victima,Apuñalada
2017,Julio,Santander,Exnovio,17,Vivienda de la victima,Baleada
2017,Agosto,Bogota,Victimario Desconocido,32,Vivienda de la victima,Metodo Desconocido
2017,Agosto,Risaralda,Familiar,36,Via urbana,Baleada
2017,Agosto,Cundinamarca,Conocido,29,Vivienda de la victima,Baleada
2017,Agosto,Cauca,Militar,29,Zona rural,Golpeada
2017,Agosto,Choco,Estructuras armadas,38,Zona rural,Estrangulada
2017,Agosto,Bolivar,Exnovio,32,Lugar de trabajo de la victima,Baleada
2017,Agosto,Bolivar,Conocido,26,Vivienda de la victima,Apuñalada
2017,Agosto,Nariño,Victimario Desconocido,29,En una calle del barrio de la victima,Asfixiada
2017,Agosto,Nariño,Victimario Desconocido,29,Via urbana,Baleada
2017,Agosto,Huila,Conyuge,39,Lugar Desconocido,Apuñalada
2017,Agosto,Huila,Victimario Desconocido,25,Local comercial,Metodo Desconocido
2017,Agosto,Sucre,Conocido,21,Lugar de trabajo de la victima,Baleada
2017,Agosto,Sucre,Excompañero permanente,29,Via urbana,Metodo Desconocido
2017,Agosto,Sucre,Victimario Desconocido,29,Vivienda de la victima,Asfixiada
2017,Agosto,Norte de Santander,Banda criminal,26,Transporte publico,Baleada
2017,Agosto,Norte de Santander,Victimario Desconocido,24,Vivienda de la victima,Baleada
2017,Agosto,Norte de Santander,Victimario Desconocido,15,Vivienda de la victima,Metodo Desconocido
2017,Agosto,Casanare,Compañero permanente,29,Vivienda del victimario,Apuñalada
2017,Agosto,Casanare,Exnovio,29,Via urbana,Baleada
2017,Agosto,Casanare,Compañero permanente,17,Vivienda del victimario,Apuñalada
2017,Agosto,Cordoba,Compañero permanente,29,Via urbana,Apuñalada
2017,Agosto,Cordoba,Victimario Desconocido,28,Vivienda de la victima,Apuñalada
2017,Agosto,Cordoba,Victimario Desconocido,32,Vivienda de la victima,Apuñalada
2017,Agosto,Santander,Excompañero permanente,10,Vivienda del victimario,Baleada
2017,Agosto,Santander,Victimario Desconocido,30,Via urbana,Metodo Desconocido
2017,Agosto,Santander,Conyuge,26,Vivienda de la victima,Baleada
2017,Agosto,Santander,Conocido,29,Zona verde urbana,Apuñalada
2017,Agosto,Santander,Victimario Desconocido,29,Via urbana,Apuñalada
2017,Agosto,Antioquia,Victimario Desconocido,14,Vivienda de la victima,Baleada
2017,Agosto,Antioquia,Excompañero permanente,66,Vivienda de la victima,Apuñalada
2017,Agosto,Antioquia,Conyuge,34,En una calle del barrio de la victima,Apuñalada
2017,Agosto,Antioquia,Victimario Desconocido,27,Hotel,Apuñalada
2017,Agosto,Antioquia,Victimario Desconocido,28,Vivienda de la victima,Apuñalada
2017,Agosto,Meta,Compañero permanente,17,Vivienda de la victima,Baleada
